City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
159,Hambantota,LK,6.1241,81.1185,80.94,94,75,10.36,broken clouds,2021-07-23 02:45:16
160,Castro,BR,-24.7911,-50.0119,46.49,69,0,3.4,clear sky,2021-07-23 02:45:16
161,Boyolangu,ID,-8.1181,111.8935,82.87,68,41,8.81,scattered clouds,2021-07-23 02:45:16
162,Banff,CA,51.1762,-115.5698,65.43,20,0,6.91,clear sky,2021-07-23 02:45:17
163,Tasiilaq,GL,65.6145,-37.6368,42.96,97,100,1.9,overcast clouds,2021-07-23 02:42:49
164,Orsha,BY,54.5153,30.4053,55.51,78,2,7.31,clear sky,2021-07-23 02:45:17
165,Mount Isa,AU,-20.7333,139.5,82.17,18,10,9.22,clear sky,2021-07-23 02:45:17
166,Leningradskiy,RU,69.3833,178.4167,39.52,80,93,10.76,overcast clouds,2021-07-23 02:45:17
167,Kloulklubed,PW,7.0419,134.2556,88.3,75,43,16.51,scattered clouds,2021-07-23 02:45:18
168,Changli,CN,39.7042,119.1506,81.03,67,100,3.13,overcast clouds,2021-07-23 02:45:18
169,Bellefontaine,US,40.3612,-83.7597,70.45,88,77,4.5,broken clouds,2021-07-23 02:45:18
170,Jingdezhen,CN,29.2947,117.2079,90.59,55,6,8.34,clear sky,2021-07-23 02:45:19
171,Berlevag,NO,70.8578,29.0864,43.59,78,100,23.42,overcast clouds,2021-07-23 02:45:19
172,Tual,ID,-5.6667,132.75,75.76,92,100,13.31,light rain,2021-07-23 02:45:19
173,Assiniboia,CA,49.6334,-105.9845,84.02,39,55,3.44,broken clouds,2021-07-23 02:42:16
174,Kontagora,NG,10.3999,5.4695,70.54,96,100,3.58,light rain,2021-07-23 02:45:20
175,Mount Gambier,AU,-37.8333,140.7667,49.91,76,75,13.8,broken clouds,2021-07-23 02:45:20
176,Iqaluit,CA,63.7506,-68.5145,51.53,81,90,15.01,light rain,2021-07-23 02:45:20
177,Lapua,FI,62.9693,23.0088,55.35,79,56,4.92,broken clouds,2021-07-23 02:45:21
178,Yellowknife,CA,62.456,-114.3525,63.12,94,90,4.0,light intensity shower rain,2021-07-23 02:43:24
179,Rosita,NI,13.9268,-84.4032,74.93,92,100,3.51,overcast clouds,2021-07-23 02:45:21
180,Port Elizabeth,ZA,-33.918,25.5701,48.49,87,90,12.66,overcast clouds,2021-07-23 02:45:21
181,Mitu,CO,1.1983,-70.1733,70.66,99,100,0.38,overcast clouds,2021-07-23 02:43:20
182,Westport,US,41.1415,-73.3579,75.97,79,90,1.99,overcast clouds,2021-07-23 02:40:31
183,Fort Nelson,CA,58.8053,-122.7002,58.59,100,90,5.75,light intensity shower rain,2021-07-23 02:45:11
184,Huangnihe,CN,43.5583,128.0239,85.03,61,100,3.06,overcast clouds,2021-07-23 02:45:22
185,Fasa,IR,28.9383,53.6482,69.04,46,0,0.0,clear sky,2021-07-23 02:45:22
186,Hamilton,US,39.1834,-84.5333,72.36,77,1,0.0,clear sky,2021-07-23 02:45:11
187,Akyab,MM,20.15,92.9,82.98,85,98,21.92,moderate rain,2021-07-23 02:45:22
188,Codrington,AU,-38.2667,141.9667,47.44,83,100,11.32,overcast clouds,2021-07-23 02:45:23
189,Kaitangata,NZ,-46.2817,169.8464,53.92,50,16,4.27,few clouds,2021-07-23 02:45:23
190,Kongolo,CD,-5.3833,27.0,71.29,42,5,3.74,clear sky,2021-07-23 02:45:23
191,Geraldton,AU,-28.7667,114.6,59.41,94,75,12.66,broken clouds,2021-07-23 02:45:24
192,Itoman,JP,26.1247,127.6694,80.62,92,75,32.21,shower rain,2021-07-23 02:45:24
193,The Valley,AI,18.217,-63.0578,82.26,82,0,20.31,clear sky,2021-07-23 02:40:46
194,Vardo,NO,70.3705,31.1107,43.0,78,100,27.92,overcast clouds,2021-07-23 02:45:24
195,Roma,US,43.2128,-75.4557,66.88,76,75,0.0,broken clouds,2021-07-23 02:45:25
196,Newport,GB,51.5877,-2.9984,68.68,84,99,1.81,overcast clouds,2021-07-23 02:44:00
197,Bambanglipuro,ID,-7.95,110.2833,84.24,67,8,10.18,clear sky,2021-07-23 02:45:25
198,Camacha,PT,33.0833,-16.3333,68.76,78,40,13.8,scattered clouds,2021-07-23 02:45:20
199,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,61.9,32,0,3.44,clear sky,2021-07-23 02:45:25
200,Caravelas,BR,-17.7125,-39.2481,69.48,74,67,7.83,broken clouds,2021-07-23 02:45:26
201,Buena Vista,US,43.4203,-83.8986,70.38,72,1,4.61,clear sky,2021-07-23 02:40:27
202,Ahipara,NZ,-35.1667,173.1667,58.6,62,1,9.04,clear sky,2021-07-23 02:44:58
203,Qasigiannguit,GL,68.8193,-51.1922,44.85,93,100,2.84,light rain,2021-07-23 02:45:26
204,Hithadhoo,MV,-0.6,73.0833,81.37,76,100,14.0,overcast clouds,2021-07-23 02:45:27
205,Qaqortoq,GL,60.7167,-46.0333,46.9,96,100,5.06,overcast clouds,2021-07-23 02:45:27
206,Dicabisagan,PH,17.0818,122.4157,90.16,60,100,4.79,overcast clouds,2021-07-23 02:45:27
207,Xiongzhou,CN,25.1167,114.3,91.2,56,7,5.73,clear sky,2021-07-23 02:45:27
208,Loubomo,CG,-4.1997,12.6739,63.9,92,55,3.53,broken clouds,2021-07-23 02:45:28
209,Dikson,RU,73.5069,80.5464,38.5,94,98,17.49,overcast clouds,2021-07-23 02:45:28
210,Zhanakorgan,KZ,43.9098,67.2495,87.33,25,0,6.2,clear sky,2021-07-23 02:45:28
211,Pangody,RU,65.85,74.4859,60.46,54,100,12.55,overcast clouds,2021-07-23 02:45:29
212,Doha,QA,25.2867,51.5333,98.91,55,0,3.44,clear sky,2021-07-23 02:45:29
213,Santo Angelo,BR,-28.2992,-54.2631,61.12,67,0,9.22,clear sky,2021-07-23 02:45:29
214,Lazaro Cardenas,MX,17.9583,-102.2,81.9,81,28,5.73,scattered clouds,2021-07-23 02:45:30
215,Quatre Cocos,MU,-20.2078,57.7625,69.91,71,13,14.12,light rain,2021-07-23 02:45:30
216,Palafrugell,ES,41.9174,3.1631,76.71,100,0,1.99,clear sky,2021-07-23 02:45:30
217,Nanortalik,GL,60.1432,-45.2371,43.74,94,99,6.85,overcast clouds,2021-07-23 02:42:20
218,Canto Do Buriti,BR,-8.11,-42.9444,74.44,58,2,8.72,clear sky,2021-07-23 02:45:30
219,Bengkulu,ID,-3.8004,102.2655,82.42,67,91,2.08,overcast clouds,2021-07-23 02:44:19
220,Constitucion,CL,-35.3333,-72.4167,53.11,81,100,6.58,overcast clouds,2021-07-23 02:42:28
221,Ardrishaig,GB,56.0157,-5.4481,62.42,95,85,3.87,overcast clouds,2021-07-23 02:45:31
222,Labuhan,ID,-6.8844,112.2051,85.77,62,12,3.91,few clouds,2021-07-23 02:45:31
223,Pangnirtung,CA,66.1451,-65.7125,44.6,93,90,12.66,overcast clouds,2021-07-23 02:45:32
224,Mayumba,GA,-3.432,10.6554,70.09,87,78,4.34,broken clouds,2021-07-23 02:45:32
225,Faanui,PF,-16.4833,-151.75,78.12,66,23,14.03,few clouds,2021-07-23 02:45:32
226,Trat,TH,12.5,102.5,86.2,95,100,3.11,light rain,2021-07-23 02:45:32
227,Kavieng,PG,-2.5744,150.7967,84.18,73,35,11.68,light rain,2021-07-23 02:45:33
228,Noumea,NC,-22.2763,166.4572,75.99,99,94,10.96,overcast clouds,2021-07-23 02:45:33
229,Rayagada,IN,19.1667,83.4167,79.02,90,100,2.89,overcast clouds,2021-07-23 02:45:33
230,Okha,RU,53.5739,142.9478,75.0,62,51,3.27,broken clouds,2021-07-23 02:45:34
231,Misratah,LY,32.3754,15.0925,78.06,68,0,5.66,clear sky,2021-07-23 02:45:34
232,Chokurdakh,RU,70.6333,147.9167,56.16,44,2,8.7,clear sky,2021-07-23 02:45:35
233,Lavrentiya,RU,65.5833,-171.0,43.56,81,98,2.15,overcast clouds,2021-07-23 02:43:07
234,Qeshm,IR,26.9581,56.2719,91.27,76,0,3.74,clear sky,2021-07-23 02:45:35
235,Port-Gentil,GA,-0.7193,8.7815,74.5,77,100,12.75,overcast clouds,2021-07-23 02:45:36
236,Cherskiy,RU,68.75,161.3,64.35,61,100,6.31,overcast clouds,2021-07-23 02:45:36
237,Yumen,CN,40.2833,97.2,88.79,26,62,12.28,broken clouds,2021-07-23 02:45:37
238,Fianarantsoa,MG,-21.4333,47.0833,48.24,91,16,1.23,few clouds,2021-07-23 02:45:37
239,Kargalinskaya,RU,43.7417,46.4792,71.71,91,94,7.45,overcast clouds,2021-07-23 02:45:37
240,Komsomolskiy,UZ,40.4272,71.7189,86.72,26,0,2.3,clear sky,2021-07-23 02:45:38
