City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Jaciara,BR,-15.9653,-54.9683,66.36,36,0,0.54,clear sky
104,Chuzhou,CN,32.3219,118.2978,87.4,65,57,12.71,light rain
105,Camocim,BR,-2.9022,-40.8411,75.29,85,3,12.88,clear sky
106,Husavik,IS,66.0449,-17.3389,57.11,84,0,3.74,clear sky
107,Dzilam Gonzalez,MX,21.2833,-88.9333,79.52,77,18,7.25,few clouds
108,Jiblah,YE,13.9216,44.1467,63.18,80,71,9.22,broken clouds
109,Wenling,CN,28.3669,121.36,78.91,86,84,18.84,light rain
110,Hurghada,EG,27.2574,33.8129,86.04,30,0,11.5,clear sky
111,Clyde River,CA,70.4692,-68.5914,37.63,100,90,2.3,light rain
112,Torit,SS,4.4133,32.5678,71.08,82,78,0.83,broken clouds
113,Maralal,KE,1.0968,36.698,58.6,76,59,3.74,broken clouds
114,Salto,UY,-31.3833,-57.9667,45.88,96,29,1.99,scattered clouds
115,Palanga,LT,55.9175,21.0686,59.02,77,0,2.3,clear sky
116,Zaysan,KZ,47.4667,84.8667,89.08,22,100,7.74,overcast clouds
117,Kemijarvi,FI,66.7131,27.4306,51.15,79,100,5.55,overcast clouds
118,Stokmarknes,NO,68.5646,14.9108,51.49,87,100,7.7,overcast clouds
119,Rincon,US,32.296,-81.2354,80.85,87,75,4.61,broken clouds
120,Qaanaaq,GL,77.484,-69.3632,39.83,92,100,10.45,overcast clouds
121,Tiksi,RU,71.6872,128.8694,41.27,92,100,7.02,overcast clouds
122,Flinders,AU,-34.5833,150.8552,64.18,51,30,3.0,scattered clouds
123,Beringovskiy,RU,63.05,179.3167,54.79,69,34,8.3,scattered clouds
124,Luau,AO,-10.7073,22.2247,57.79,33,29,8.01,scattered clouds
125,Tilichiki,RU,60.4667,166.1,65.75,54,85,11.81,overcast clouds
126,Tual,ID,-5.6667,132.75,80.13,78,85,16.93,overcast clouds
127,Labuhan,ID,-6.8844,112.2051,87.12,60,84,5.46,broken clouds
128,Geraldton,AU,-28.7667,114.6,68.13,72,75,8.05,broken clouds
129,Nome,US,64.5011,-165.4064,48.27,71,90,17.27,overcast clouds
130,Honningsvag,NO,70.9821,25.9704,42.55,87,75,9.22,broken clouds
131,Ilebo,CD,-4.3167,20.5833,67.46,45,1,1.34,clear sky
132,Seoul,KR,37.5683,126.9778,94.39,41,0,8.05,clear sky
133,Watertown,US,42.3709,-71.1828,67.53,77,1,1.99,clear sky
134,Castro,BR,-24.7911,-50.0119,46.65,56,0,2.37,clear sky
135,College,US,64.8569,-147.8028,80.55,45,75,3.44,smoke
136,Bambous Virieux,MU,-20.3428,57.7575,73.22,88,40,11.5,scattered clouds
137,Inirida,CO,3.8653,-67.9239,72.43,99,94,2.37,overcast clouds
138,Buturlino,RU,55.5667,44.8974,63.23,77,100,6.15,overcast clouds
139,San Rafael,AR,-34.6177,-68.3301,52.66,30,100,2.62,overcast clouds
140,Hibbing,US,47.4272,-92.9377,61.45,88,1,5.75,clear sky
141,Norman Wells,CA,65.282,-126.8329,69.84,56,75,19.57,broken clouds
142,Samarai,PG,-10.6167,150.6667,78.49,72,91,13.38,overcast clouds
143,Provideniya,RU,64.3833,-173.3,53.71,66,75,6.71,broken clouds
144,Yellowknife,CA,62.456,-114.3525,67.28,68,20,3.0,smoke
145,Kiruna,SE,67.8557,20.2251,45.52,93,75,4.61,broken clouds
146,Acarau,BR,-2.8856,-40.12,77.56,82,4,15.32,clear sky
147,Mar Del Plata,AR,-38.0023,-57.5575,51.1,58,0,15.01,clear sky
148,Georgetown,MY,5.4112,100.3354,91.33,70,20,8.01,few clouds
149,Caravelas,BR,-17.7125,-39.2481,67.91,80,3,3.36,clear sky
150,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,46.58,78,98,5.44,overcast clouds
151,Torbay,CA,47.6666,-52.7314,50.58,99,90,9.22,fog
152,Konskie,PL,51.1917,20.4061,64.24,83,72,3.62,broken clouds
153,Lavrentiya,RU,65.5833,-171.0,38.34,83,100,8.14,light rain
154,Haines Junction,CA,60.7522,-137.5108,62.55,51,61,9.22,broken clouds
155,Iwaki,JP,37.05,140.8833,90.21,63,58,3.0,broken clouds
156,Chuy,UY,-33.6971,-53.4616,46.27,81,99,5.44,overcast clouds
157,Te Anau,NZ,-45.4167,167.7167,43.41,88,44,2.93,scattered clouds
158,Pineville,US,31.3224,-92.4343,80.49,87,20,10.36,few clouds
159,Maturin,VE,9.75,-63.1767,72.19,97,90,3.36,overcast clouds
160,Rio Grande City,US,26.3798,-98.8203,74.75,81,62,9.93,broken clouds
161,Necochea,AR,-38.5473,-58.7368,46.58,75,100,11.07,overcast clouds
162,Vardo,NO,70.3705,31.1107,44.8,80,100,15.55,overcast clouds
163,Pisco,PE,-13.7,-76.2167,62.65,82,90,4.61,overcast clouds
164,Artyom,AZ,40.4723,50.333,86.14,54,85,2.39,overcast clouds
165,Sungaipenuh,ID,-2.0833,101.3833,82.53,40,69,4.41,broken clouds
166,Minden,DE,52.2833,8.9167,64.04,92,75,1.14,broken clouds
167,Luganville,VU,-15.5333,167.1667,81.77,72,36,6.2,scattered clouds
168,Narsaq,GL,60.9167,-46.05,46.62,94,54,4.41,broken clouds
169,Carauari,BR,-4.8828,-66.8958,71.08,74,38,1.99,scattered clouds
170,Saldanha,ZA,-33.0117,17.9442,39.25,64,61,12.68,broken clouds
171,Qasigiannguit,GL,68.8193,-51.1922,44.85,90,92,3.15,overcast clouds
172,Quatre Cocos,MU,-20.2078,57.7625,73.09,62,78,16.44,broken clouds
173,Effingham,US,32.3669,-81.3332,80.85,90,94,4.61,overcast clouds
174,Skelleftea,SE,64.7507,20.9528,62.01,51,75,3.0,broken clouds
175,Puerto Escondido,MX,15.85,-97.0667,80.11,83,89,5.01,overcast clouds
176,Thompson,CA,55.7435,-97.8558,66.36,72,90,0.0,smoke
177,Kurchum,KZ,48.5722,83.6542,86.22,29,100,2.93,overcast clouds
178,Mashhad,IR,36.297,59.6062,87.94,29,20,6.91,few clouds
179,Pochutla,MX,15.7432,-96.4661,79.83,88,79,4.27,broken clouds
180,Sagae,JP,38.3725,140.2725,90.75,70,75,11.5,thunderstorm
181,Hofn,IS,64.2539,-15.2082,52.88,84,11,6.06,few clouds
182,Goderich,CA,43.7501,-81.7165,63.91,87,61,2.3,broken clouds
183,San Patricio,US,28.017,-97.5169,80.83,77,49,7.05,scattered clouds
184,Ballina,AU,-28.8667,153.5667,66.38,55,73,11.5,broken clouds
185,Sitka,US,57.0531,-135.33,57.09,72,75,4.61,broken clouds
186,Mwingi,KE,-0.9344,38.0601,65.46,73,8,7.09,clear sky
187,Souillac,MU,-20.5167,57.5167,73.36,88,40,11.5,scattered clouds
188,Alexandria,EG,31.2156,29.9553,80.56,69,40,11.5,scattered clouds
189,Malaya Vishera,RU,58.8454,32.2222,58.46,60,16,6.91,few clouds
190,Hasaki,JP,35.7333,140.8333,95.29,70,8,9.91,clear sky
191,De-Kastri,RU,51.4667,140.7833,78.01,71,97,6.08,overcast clouds
192,Broome,US,42.2506,-75.833,59.67,85,0,2.39,clear sky
193,Kavieng,PG,-2.5744,150.7967,82.89,75,93,7.61,overcast clouds
194,Hato Mayor,DO,18.7629,-69.256,72.43,92,6,4.72,clear sky
195,Aguadilla,PR,18.4275,-67.1541,78.67,90,2,3.0,clear sky
196,Vao,NC,-22.6667,167.4833,71.13,68,98,13.76,overcast clouds
197,Coachella,US,33.6803,-116.1739,106.03,26,1,4.0,clear sky
