City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
412,Kanigoro,ID,86.13,scattered clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
413,Conde,BR,71.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
414,Port-Gentil,GA,73.89,overcast clouds,-0.7193,8.7815,Fengshui Residence
415,Abonnema,NG,75.25,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
417,Adrar,MR,80.82,broken clouds,20.5022,-10.0711,
418,Cortes,ES,76.6,clear sky,41.9395,-1.4396,Rincon de bu
420,Cabo San Lucas,MX,88.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
421,Teguldet,RU,77.54,broken clouds,57.3064,88.1667,
422,Kismayo,SO,78.49,few clouds,-0.3582,42.5454,Agan-Hotel
423,San Francisco Del Mar,MX,81.84,scattered clouds,16.2333,-94.65,
424,Cockburn Town,TC,81.18,few clouds,21.4612,-71.1419,Osprey Beach Hotel
428,Wenzhou,CN,87.33,broken clouds,27.9994,120.6668,温州喜来登酒店
431,Pacatuba,BR,78.46,few clouds,-3.9842,-38.6203,Pousada das Andreias
434,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
435,Shache,CN,78.46,scattered clouds,38.4167,77.2406,Delong Hotel
436,Barra Patuca,HN,79.72,broken clouds,15.8,-84.2833,
437,Moindou,NC,76.95,few clouds,-21.6924,165.67700000000002,Gite de la RYAWA
438,Hobyo,SO,80.22,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
440,Miri,MY,89.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
444,Sibolga,ID,86.31,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
446,Fillmore,US,72.59,scattered clouds,43.6666,-92.1002,Country Trails Inn & Suites
448,Karmala,IN,74.61,overcast clouds,18.4167,75.2,Hotel Ashutosh And Lodge
449,Yumen,CN,86.7,overcast clouds,40.2833,97.2,
451,Palestina,PS,70.47,scattered clouds,31.9216,35.2033,Grand Park Hotel
452,San Lazaro,BZ,75.49,broken clouds,18.0387,-88.6622,
453,Bafoulabe,ML,79.52,overcast clouds,13.8065,-10.8321,
456,Bamora,IN,80.11,overcast clouds,24.0552,78.0909,Golu Hotel
458,Tucurui,BR,73.08,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
459,Ha Tinh,VN,80.47,overcast clouds,18.3333,105.9,Phú Quý
460,Acapulco,MX,80.1,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
461,Qui Nhon,VN,85.06,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
462,Yerbogachen,RU,76.46,overcast clouds,61.2767,108.0108,
463,Guangyuan,CN,87.82,clear sky,32.442,105.823,Guangyuan Poetry Hotel
465,Kalmunai,LK,89.38,overcast clouds,7.4167,81.8167,VS Villa
467,Majene,ID,77.04,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
468,Negombo,LK,84.25,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
469,Dwarka,IN,84.13,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
